day_id,but_num_business_unit,dpt_num_department,day,week,month,year,naive_forecast,moving_avg_forecast
2017-11-25,95,73,2017-11-25,47,11,2017,-2.700873866261718,11.03746633032928
2017-11-25,4,117,2017-11-25,47,11,2017,4.801129823683026,7.712458290534224
2017-11-25,113,127,2017-11-25,47,11,2017,737.3709797892913,843.9812147361574
2017-11-25,93,117,2017-11-25,47,11,2017,32.29226953689266,15.139940877511966
2017-11-25,66,127,2017-11-25,47,11,2017,1335.0178955980884,1453.4324572330909
2017-11-25,225,88,2017-11-25,47,11,2017,867.4724457382047,1036.1757676846107
2017-11-25,37,117,2017-11-25,47,11,2017,3.667264903713405,2.1430777898108557
2017-11-25,720,73,2017-11-25,47,11,2017,117.90733346318628,181.10044104815802
2017-11-25,1015,127,2017-11-25,47,11,2017,41.82874722281429,81.17041194611657
2017-11-25,505,88,2017-11-25,47,11,2017,953.642683996109,1086.5542631796247
2017-11-25,426,127,2017-11-25,47,11,2017,773.2183353294631,936.9955298163643
2017-11-25,1883,88,2017-11-25,47,11,2017,0.0,0.7219331928085727
2017-11-25,233,127,2017-11-25,47,11,2017,666.163118781087,939.4537082304773
2017-11-25,97,117,2017-11-25,47,11,2017,30.27845171238384,13.126520279125154
2017-11-25,167,127,2017-11-25,47,11,2017,1065.8543165174187,1580.2306875572938
2017-11-25,482,88,2017-11-25,47,11,2017,315.0431604219965,329.2341466607419
2017-11-25,1384,117,2017-11-25,47,11,2017,38.61019792083774,25.72877105291773
2017-11-25,69,127,2017-11-25,47,11,2017,922.7887725112562,1149.0356199997345
2017-11-25,199,127,2017-11-25,47,11,2017,728.8450655690376,884.7793540622984
2017-11-25,24,73,2017-11-25,47,11,2017,1.9060879456215771,2.2766278830331745
2017-11-25,204,88,2017-11-25,47,11,2017,450.2008058883904,480.2734315635852
2017-11-25,28,73,2017-11-25,47,11,2017,9.784351743538304,14.411334152382947
2017-11-25,899,88,2017-11-25,47,11,2017,129.79702576019957,197.20025832442786
2017-11-25,212,88,2017-11-25,47,11,2017,438.1625226274535,471.9797472508698
2017-11-25,288,127,2017-11-25,47,11,2017,1758.260306680538,2049.2400699466148
2017-11-25,184,117,2017-11-25,47,11,2017,7.676468860257758,4.040188237580481
2017-11-25,1111,88,2017-11-25,47,11,2017,76.23303084550238,103.76029740814153
2017-11-25,724,117,2017-11-25,47,11,2017,13.110948711655457,14.194841586035047
2017-11-25,603,117,2017-11-25,47,11,2017,3.3698160345733923,4.259620343966593
2017-11-25,1501,117,2017-11-25,47,11,2017,0.2631278457777035,1.7367073395835146
2017-11-25,477,127,2017-11-25,47,11,2017,14.252758312958944,16.142559661846093
2017-11-25,34,127,2017-11-25,47,11,2017,730.8715948836807,1027.4357443103538
2017-11-25,238,73,2017-11-25,47,11,2017,6.5759716336691065,5.082848223781981
2017-11-25,541,88,2017-11-25,47,11,2017,253.2773942854675,273.1036336113607
